warren,trump

nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.1
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.2
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.25
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.2
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.18333333333333335
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.1
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.2857142857142857
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.35
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.125
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.35
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.9
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.6666666666666666
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.1
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.041666666666666664
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,0.0
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,-0.07500000000000001
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
nc,nc
